date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,0.10894697040731961,0.19029361352669372,0.1839365050070322,0.1866608310768513,0.18419640222364503
2015-03-06,0.05344503272647859,0.21147387727497224,0.19483008157863527,0.20882809028000232,0.19851126865054988
2015-03-09,0.09231158235995021,0.21389365730413143,0.2046619999361945,0.22956167056723661,0.20858098077356518
2015-03-10,0.09773192456121134,0.20593002572561,0.21141319266659142,0.22597994542729527,0.22330723657810145
2015-03-11,0.10435230823603417,0.19458796168614267,0.2029233758036241,0.21263762274366593,0.21055326941286615
2015-03-12,0.10201090737176981,0.21102473117809434,0.21032849466803466,0.21022987879874086,0.2089078565197929
2015-03-13,0.08550491766219438,0.21274515033853272,0.2364162314925044,0.21931126722300182,0.21824039150995916
2015-03-16,0.06672851810907093,0.18389195426979263,0.20291076629652757,0.18369400812827488,0.18729539452419997
2015-03-17,0.07972681473492985,0.13702223903715316,0.1760789572644697,0.1436406688246667,0.15579248527071524
2015-03-18,0.0638869336422892,0.1616353570380134,0.17792235625205582,0.13662485755252987,0.1431249058425733
2015-03-19,0.06057346627908886,0.18172936908541476,0.20565073719454627,0.18111406775175076,0.16225184720131006
2015-03-20,0.0465105804836042,0.14845703818665468,0.16246373056406904,0.16715447148079107,0.0971223256208413
2015-03-23,0.0564014808980247,0.15020909756289982,0.1842462471510773,0.13614319581064627,0.09981216630119309
2015-03-24,0.06722479680961219,0.17996337075175528,0.20318947416774003,0.16800164131408746,0.12976820598796027
2015-03-25,0.06335983287985231,0.17617865027675758,0.21920795809387927,0.1852903818615131,0.13757932786467136
2015-03-26,0.06332942221717473,0.19277997351454793,0.17535714381310494,0.18653283846815222,0.14669410866022167
2015-03-27,0.07797559295494101,0.21020462197877518,0.21303408385900316,0.20063684829669054,0.1627938441642542
2015-03-30,0.05945112966527553,0.1349834889811889,0.18192842495681344,0.15049814208619108,0.13522369600887635
2015-03-31,0.06135458170328105,0.15300475021725052,0.1913718661372765,0.1718748230784129,0.14513067758261117
2015-04-01,0.05578040275965105,0.13960146194963782,0.1693179134338874,0.16085508138999893,0.11829413627510532
2015-04-02,0.050579305285076134,0.1280472862030021,0.17603805442285328,0.15755232760697588,0.10572111882177031
2015-04-03,0.015909017725500695,0.07223919963407549,0.1231224065954799,0.11156155063885616,0.06046941452730732
2015-04-07,0.00034565438991965845,0.029053812129065326,0.08289874037740438,0.06423030098695076,0.033734378985973576
2015-04-08,-0.01412020460790423,0.05131874209948761,0.04305817138265087,0.03080849787683436,0.013779995958739733
2015-04-09,0.024125862104472574,0.08027725551530357,0.056764313311347944,0.026181209603762898,0.09839587647612814
