date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,0.5466348043124417,0.35208639443393736,0.5641139058086587,0.44982044219015443,0.6675527134934655
2015-03-09,0.4507248783962794,0.21808688176901622,0.4627143894182095,0.3870196472001419,0.6683383008588909
2015-03-10,0.4631772836357152,0.23542778401906242,0.40432827285845374,0.4575909056994683,0.6359879617166213
2015-03-11,0.4645409705647522,0.2456088837435847,0.4204581307391167,0.49541570131167323,0.6589185362313505
2015-03-12,0.4612872053318565,0.2457257953668136,0.5315678263427698,0.4264697536864704,0.617663624450685
2015-03-13,0.43798007569668196,0.22827585234672368,0.5165830067440366,0.422043300157886,0.5966770140573809
2015-03-16,0.4099283363453206,0.21116518416837404,0.39840390363646344,0.46956936431605,0.5658447833025848
2015-03-17,0.3810048041924534,0.21885012375872961,0.40753846639237656,0.43014620345528437,0.551355384304818
2015-03-18,0.3498712333437279,0.22222468286798394,0.3888801264808117,0.4724069521908244,0.5315163668230211
2015-03-19,0.31905818470376063,0.20612265883883862,0.32342811874536787,0.43343573732038276,0.5231759064785131
2015-03-20,0.27573686246828827,0.16044199849724694,0.2751089313422501,0.36029609620428293,0.43004018905862457
2015-03-23,0.2660684858540968,0.19431745655026522,0.27366113898036104,0.33479487347788184,0.4208484371089904
2015-03-24,0.22242515514082686,0.16169601995191415,0.22165760894236425,0.290980142930479,0.3710617001983681
2015-03-25,0.1692646250211421,0.12380392967613243,0.16376808586317232,0.22334663222077397,0.31546122387859177
2015-03-26,0.1648330511269097,0.19469948750888139,0.24636280974129568,0.19286225069564972,0.31603408626957286
2015-03-27,0.16666845374223643,0.20503569668128943,0.2446530432820667,0.2446641154122594,0.30384069842073813
2015-03-30,0.15911176454375553,0.09969993762265639,0.18867287959247,0.18068454763002278,0.25413816936540157
2015-03-31,0.05783442424513122,0.05661815290868588,0.10412976467746701,0.1291768021674108,0.1432470540674922
2015-04-01,0.011350070190355022,0.010289522372401204,0.05209772273695064,0.07018875013671326,0.06991137526134353
2015-04-02,0.06146866640474633,0.06080769880592338,0.10177200736399863,0.12702399194071773,0.13529744952785053
2015-04-03,0.015762548751523588,-0.007650488837596657,0.03576471169550751,0.0648739602968768,0.08530684705001394
2015-04-07,-0.01948117042538868,-0.05185579632667018,-0.008328968709428841,-0.025331947252353857,0.002872922565793812
2015-04-08,-0.043630300355343266,-0.10155043635167937,-0.04623003135327036,-0.09174434893539693,-0.03307685746105195
2015-04-09,-0.032879700142682745,-0.09004471204376739,-0.013978202715025234,-0.06040794192627627,-0.008757543476384699
