date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,,,,,
2015-03-09,,,,,
2015-03-10,,,,,
2015-03-11,,,,,
2015-03-12,,,,,
2015-03-13,,,,,
2015-03-16,,,,,
2015-03-17,,,,,
2015-03-18,,,,,
2015-03-19,,,,,
2015-03-20,,,,,
2015-03-23,,,,,
2015-03-24,,,,,
2015-03-25,,,,,
2015-03-26,,,,,
2015-03-27,,,,,
2015-03-30,,,,,
2015-03-31,,,,,
2015-04-01,,,,,
2015-04-02,0.035646466815268854,0.045549345728405646,0.05034470132606835,0.05146616605084046,0.060237112636573845
2015-04-03,0.025137080075268915,0.06462033557433067,0.06060962089811306,0.05452594491198375,0.028983182123149806
2015-04-07,0.012137042541207798,0.04904694861332991,0.030574817558023493,0.030897613946256872,-0.02723241723307876
2015-04-08,-0.0029438950447084,0.012854243179429181,-0.005332748730676474,0.037134282068588806,-0.02123786372441283
2015-04-09,0.008428097891408947,0.034315200952601606,0.030265064225640015,0.04646591884579,0.028627167523308274
2015-04-10,0.0002630206043694017,0.01976324273851858,0.052941088403916314,0.07781125650795964,0.01810704482155955
2015-04-13,-0.018859191076107683,-0.015820745003267245,0.01004344125517784,0.052971522950398975,-0.007795183013408276
2015-04-14,0.003947599760019116,0.01570067705630644,0.02116435199499848,0.04211345776735014,0.048277932496852194
2015-04-15,0.028076675365318503,0.060388084208190335,0.09094242670128024,0.07376715494776256,0.061490892539131106
2015-04-16,0.03483566072175309,0.06998291517052735,0.06789452738495125,0.03729630650268415,0.0366644784611763
2015-04-17,0.03014049004488224,0.048174426198131094,0.036583364385826454,0.021460533001958333,-0.0039465933978554465
2015-04-20,0.057903778680035344,0.08919236301903959,0.0673421524868428,0.05857920420405925,0.055674644523914574
2015-04-21,0.01959183403590361,0.04389506530559292,0.020167157914994172,0.03279660802352476,0.030498808203353867
2015-04-22,0.016063409050685595,0.03475387370673125,-0.00210065217662041,0.01035919661267104,0.012312982146804874
2015-04-23,0.015014632604916433,0.003627975066071364,0.015493998345552406,0.008353954034454701,0.0017912671794614976
2015-04-24,0.01183727280040916,0.0022920724781135085,0.022813995580764003,0.01243453889876129,0.022755938299530144
2015-04-27,-0.02542773650190039,-0.029388123825621296,-0.04232838166698305,-0.03513878990412452,-0.04596193673542822
2015-04-28,-0.012702547551628984,-0.021918930686892643,-0.02158795577767252,-0.036839015318055175,-0.06196472593043012
2015-04-29,-0.029028245559350695,-0.04713252328239264,-0.06000333614679223,-0.05553590442924886,-0.06563378990979948
2015-04-30,-0.011493642827835692,-0.012334049710342613,-0.04202304481537744,-0.03900574360989627,-0.03786985027815583
