date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,,,,,
2015-03-09,,,,,
2015-03-10,,,,,
2015-03-11,,,,,
2015-03-12,,,,,
2015-03-13,,,,,
2015-03-16,,,,,
2015-03-17,,,,,
2015-03-18,,,,,
2015-03-19,,,,,
2015-03-20,,,,,
2015-03-23,,,,,
2015-03-24,,,,,
2015-03-25,,,,,
2015-03-26,,,,,
2015-03-27,,,,,
2015-03-30,,,,,
2015-03-31,,,,,
2015-04-01,,,,,
2015-04-02,0.14351073634917522,0.14360984949000952,0.13904413658898093,0.11619722872968419,0.11561281463150223
2015-04-03,0.07465304500933165,0.11479798713557843,0.08405590224835563,0.0494625464238179,0.06774544015280391
2015-04-07,0.013366395547158062,0.075840833015982,0.054457460421618996,0.04933843303215787,0.01826302313581986
2015-04-08,-0.0024034905614634173,0.03557510105733108,0.023460275520352274,0.04717191581538487,0.016491677895833327
2015-04-09,0.043800118563399826,0.061227760232218174,0.037977001566514984,0.08517944155746905,0.06583176670436763
2015-04-10,0.05130218328461744,0.07042834137712252,0.09182253632632204,0.09335975438109666,0.07406238099302871
2015-04-13,0.06121464622240798,0.07250198088032875,0.08556241499932354,0.07941252141158979,0.0754286142742207
2015-04-14,0.05722345382099984,0.06180850810689445,0.04768992104328183,0.09971979045785881,0.0631002148393514
2015-04-15,0.0848481931162031,0.07706926219302451,0.11239792643867938,0.08268063371988707,0.040066666787536134
2015-04-16,0.08523234018647449,0.05780863403678273,0.10599660209638335,0.03738401085948299,-0.01651402769460907
2015-04-17,0.08689565249110918,0.08784547386238152,0.02313337812301196,-0.005016750057682318,-0.01314860577070035
2015-04-20,0.1316431989009642,0.06648404348551491,0.10606172656157557,0.07643732265482056,-0.0002964943347961824
2015-04-21,0.0641461896324608,0.0338166137802017,0.04362134950566817,0.0971047254147016,0.08389150259038847
2015-04-22,0.06874909400533216,0.0651327343497217,0.08256902713462302,0.07324728223720968,0.043807245011925386
2015-04-23,0.10507637220332319,0.023004183330576536,0.08692428946632459,0.09441616184454868,0.10465089240067052
2015-04-24,0.1480393855837353,0.0565815952534802,0.10518713450279656,0.13671812422848426,0.12997193161501155
2015-04-27,0.061838495940186956,0.22023639921172591,0.19525523886093282,0.056365061339678474,0.03871332642315434
2015-04-28,0.10608909866087227,0.2786314366463146,0.15411418188617818,0.03518879326685891,0.08399926158278792
2015-04-29,0.03293920434099877,0.02964362478397083,0.0392105161349964,0.19515379910875247,0.07052052845352166
2015-04-30,0.02593357925673866,0.005431229366571909,0.04861941680724744,0.06817813937586596,0.17947161790955116
