date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,,,,,
2015-03-09,,,,,
2015-03-10,,,,,
2015-03-11,,,,,
2015-03-12,,,,,
2015-03-13,,,,,
2015-03-16,,,,,
2015-03-17,,,,,
2015-03-18,,,,,
2015-03-19,,,,,
2015-03-20,,,,,
2015-03-23,,,,,
2015-03-24,,,,,
2015-03-25,,,,,
2015-03-26,,,,,
2015-03-27,,,,,
2015-03-30,,,,,
2015-03-31,,,,,
2015-04-01,,,,,
2015-04-02,,,,,
2015-04-03,,,,,
2015-04-07,,,,,
2015-04-08,,,,,
2015-04-09,,,,,
2015-04-10,,,,,
2015-04-13,,,,,
2015-04-14,,,,,
2015-04-15,,,,,
2015-04-16,,,,,
2015-04-17,,,,,
2015-04-20,,,,,
2015-04-21,,,,,
2015-04-22,,,,,
2015-04-23,,,,,
2015-04-24,,,,,
2015-04-27,,,,,
2015-04-28,,,,,
2015-04-29,,,,,
2015-04-30,,,,,
2015-05-04,-0.0064809783572497,0.030926660508313403,0.0017082663441554244,-0.012212507310405851,-0.014251574416531052
2015-05-05,0.005624956728562521,0.06533831509054405,0.04757230735937649,0.02343509129914377,0.0473671830532528
2015-05-06,0.0020903979233975246,0.04712236598627669,0.06550331470541572,0.026529079984282198,0.06602175324110475
2015-05-07,0.005472759724617304,0.06766803681890439,0.056830863030764,0.057101944802273055,0.08873032002700781
2015-05-08,0.007304590590879933,0.006831513478010698,0.040065676466767126,0.012280838016127818,0.05100658553398494
2015-05-11,-0.007444024191998378,-0.02982002177070047,-0.026447748736378934,0.008230229144662475,0.009601771984257945
2015-05-12,0.0034126674697002924,-0.006206569193872278,-0.0071954698047633275,0.004056385659082408,0.01183045955794596
2015-05-13,0.007733945927666286,0.00615391174777053,0.005479392302601693,0.023608278724984326,0.05939730254094764
2015-05-14,0.008551006140889305,0.010954922336416262,0.03153044167602346,0.050353532095109746,0.12841969267942205
2015-05-15,0.009050838711611397,0.06491730230453124,0.0710228066354146,0.08407146383108777,0.15291853030676333
2015-05-18,0.03540870030551453,0.1252692029525042,0.11386155495164405,0.12223737638842715,0.1397336110787434
2015-05-19,0.019126119145830366,0.09813249595469707,0.10410724853079752,0.11293180062091213,0.17119598761570434
2015-05-20,0.013215917988909243,0.08364577191711259,0.09338514352596998,0.10731066798578931,0.14823620830754825
2015-05-21,-0.005830382125018252,0.01053684637369042,0.015151804656258117,0.008282611024283428,0.05046060260133889
2015-05-22,-0.01410750326848581,-0.031043428968276016,-0.018716164283678026,-0.007156830150692153,0.021953827787318893
