date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,0.10859197705250168,0.09886647814734324,0.12085699137309995,0.10225483147541192,0.10944738415179756
2015-03-09,0.10138951740465423,0.11196440559991921,0.11598945726532547,0.058117399097746304,0.12077067588547306
2015-03-10,0.10399594317272043,0.1234253700522103,0.12158398233379739,0.08827375086875683,0.06595313960279582
2015-03-11,0.10369825725677469,0.10016319153949785,0.11813345708177708,0.0966205236560658,0.0819319255901649
2015-03-12,0.10126431732820759,0.11708896020199742,0.0995805321681874,0.08896289842835069,0.050894381456883644
2015-03-13,0.05373185033162222,0.09048227233694493,0.10101359551435937,0.10158100307180007,0.09321511189281936
2015-03-16,0.07312371654556542,0.040743993550245446,0.09676800871700778,0.11207399216605943,0.1008724488133506
2015-03-17,0.05872537505799478,0.06880361212223182,0.07360098337076582,0.07738771668094735,0.08288803081736798
2015-03-18,0.0566070087639432,0.06148981118813736,0.05059283247455595,0.07354945906563266,0.08802190311273646
2015-03-19,0.05908462870289033,0.0546653154240576,0.06443968004071166,0.07962065033306803,0.10413028518374441
2015-03-20,0.06144764717500142,0.04995931060689297,0.06208873690647924,0.06337732167269787,0.11333481504194672
2015-03-23,0.1042679134229602,0.05500095380207749,0.038409159027400275,0.09693236953232592,0.08626635146567127
2015-03-24,0.09480143792532678,0.12113451844006733,0.04096263934881402,0.0522015359076692,0.08428518356150994
2015-03-25,0.1201772517845762,0.03299021842026503,0.05760373395376894,0.0753571700251994,0.06587590820337703
2015-03-26,0.12176995984303071,0.09839624754651191,0.06654777264640263,0.07002383287584582,0.08573915009996654
2015-03-27,0.12710699533478179,0.10605285133352423,0.06863313620239143,0.08599292815481455,0.09628669444598123
2015-03-30,0.08484622808565938,0.0697297421358434,0.061966683235441855,0.07072572726620414,0.07225367511573685
2015-03-31,0.039164078899052455,0.08491492042745707,0.07552991737594997,0.04856357292340749,0.05958757292227521
2015-04-01,0.04599337775433058,0.05770196052505318,0.09165767191347667,0.07970155969716394,0.05497873046675307
2015-04-02,0.0201693757222688,0.055187915944441536,0.08405187762987912,0.09586662126960796,0.14097821654882242
2015-04-03,-0.0023525852417713767,0.09905813189942468,0.0770463911146421,0.05849997773129299,0.022236955115610847
2015-04-07,0.010391147532171463,0.09189707929641035,0.053034450677550325,0.07647740646935779,0.009166808188678311
2015-04-08,0.03307167881264398,0.03296154768648956,0.09460573342486117,0.07908803265744163,0.09032374154418273
2015-04-09,0.04649979871594576,0.06875714376608229,0.0631912569076938,0.11330107672564492,0.10894928322840836
2015-04-10,0.030425357286378674,0.031120624981757924,0.08714036896400183,0.07245692055115432,0.07056005748818998
