date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,,,,,
2015-03-09,,,,,
2015-03-10,,,,,
2015-03-11,,,,,
2015-03-12,0.285313467615045,0.40377242811270886,0.49037371995318396,0.6101196996676166,0.7063483243003533
2015-03-13,0.2024116001160352,0.31971983397528203,0.4172542140246491,0.5530013651629473,0.6940020564381296
2015-03-16,0.10241815344508179,0.32446971605062447,0.4198399176889077,0.5347547011711717,0.6726202584743114
2015-03-17,0.09520774951530277,0.3037336338720407,0.3929856242317245,0.5184965198401188,0.6806303527294446
2015-03-18,0.058785011526488753,0.32026270108102717,0.37222685905326813,0.5025902884099405,0.6899570663907155
2015-03-19,0.04650905068753961,0.296302349659703,0.3497743697960101,0.4809806407931238,0.6452419967963556
2015-03-20,0.032567003599902035,0.233693923544528,0.2903786517310387,0.3939052148803732,0.560985809141225
2015-03-23,0.059224886611412376,0.20040392119457698,0.2953570923361176,0.39655296126700057,0.5449359858058308
2015-03-24,0.05050490721650601,0.1629998437334914,0.2543607348645799,0.35508353086169264,0.45141233165896144
2015-03-25,0.04531545226937198,0.13220010987914999,0.18536502220978493,0.2824352837234969,0.3570771117485827
2015-03-26,0.051645502521621554,0.16587093850852366,0.211992380921704,0.29481373353301266,0.3977814232411479
2015-03-27,0.056279833091076495,0.17512539914826558,0.22852738099447417,0.31961419998642815,0.3898191730224602
2015-03-30,0.02950573544827474,0.10555253300793825,0.16520582848554535,0.24763405476345263,0.34168935730096645
2015-03-31,0.01113008983376772,0.027202182923487132,0.09045620504920686,0.1507870935730297,0.21065005882873772
2015-04-01,0.0016829471970386755,-0.007876086401209625,0.04213324674497976,0.08368053430503537,0.09374941639139059
2015-04-02,0.019646296921282908,0.07205509114473736,0.09900543975064208,0.1344082654541051,0.1523801178557458
2015-04-03,-0.0094694446773532,0.04583766660244204,0.011394072144964518,0.07598795073919219,0.07676754873531504
2015-04-07,-0.03755177835746802,-0.017201825267401636,-0.00847496668948151,-0.028634484655084582,-0.007126761812958215
2015-04-08,-0.023391432013115644,-0.06925738121168849,-0.0839417798072065,-0.10048496999994311,-0.03680116801724367
2015-04-09,-0.009269005474702918,-0.030420672937193985,-0.0198665315786277,-0.03351498794050245,-0.10434520306387456
2015-04-10,-0.04762866432844779,-0.09838794399558341,-0.06124028079443827,-0.12065209373452085,-0.1733542763267962
2015-04-13,-0.10620796106732969,-0.182353563461585,-0.18179540321741347,-0.20064009537812744,-0.2564911925137182
2015-04-14,-0.06899994914425137,-0.1292613499843961,-0.08889539314929971,-0.12313993136244322,-0.17198511577627074
