date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,,,,,
2015-03-09,,,,,
2015-03-10,,,,,
2015-03-11,,,,,
2015-03-12,,,,,
2015-03-13,,,,,
2015-03-16,,,,,
2015-03-17,,,,,
2015-03-18,,,,,
2015-03-19,,,,,
2015-03-20,,,,,
2015-03-23,,,,,
2015-03-24,,,,,
2015-03-25,,,,,
2015-03-26,,,,,
2015-03-27,,,,,
2015-03-30,,,,,
2015-03-31,,,,,
2015-04-01,,,,,
2015-04-02,,,,,
2015-04-03,,,,,
2015-04-07,,,,,
2015-04-08,,,,,
2015-04-09,,,,,
2015-04-10,,,,,
2015-04-13,,,,,
2015-04-14,,,,,
2015-04-15,,,,,
2015-04-16,,,,,
2015-04-17,,,,,
2015-04-20,,,,,
2015-04-21,,,,,
2015-04-22,,,,,
2015-04-23,,,,,
2015-04-24,,,,,
2015-04-27,,,,,
2015-04-28,,,,,
2015-04-29,,,,,
2015-04-30,,,,,
2015-05-04,-0.01677264935520284,0.007192899276126578,0.006729979898672015,0.018341433592116985,-0.01482748526195394
2015-05-05,0.021293352180700595,0.022404347651173655,0.0500181369843852,0.06802460366636498,0.0275974130482552
2015-05-06,0.025544202237974066,0.031377816469622864,0.06219044780779891,0.05279336095701945,0.03275510611088642
2015-05-07,0.04142460754041345,0.04299313267503687,0.07145571384685748,0.0703119541466522,0.04562386643729588
2015-05-08,0.015330408081635615,0.01830878841193257,0.03959707861488867,0.02780864340084806,0.019097933823141965
2015-05-11,-0.01675981110943827,-0.01889580029754614,0.007771549141710681,0.0019683055108777386,-0.016075877244015446
2015-05-12,-0.0025927401677959703,-0.013485776698293539,0.019481869609364995,0.005413921158056907,-0.0008442334723711808
2015-05-13,0.01690443078962591,0.014863691481597607,0.03107126267716991,0.029543513748238246,0.0114544340230469
2015-05-14,0.029187152004254747,0.04867933957077783,0.06758512924209477,0.051326036683303204,0.03690162960968578
2015-05-15,0.05822020489117363,0.08898486464863319,0.08591915917406963,0.08556855631210704,0.065844622245937
2015-05-18,0.09415299283510678,0.1382993229951016,0.1184890942214654,0.09330248143118854,0.09067607670250691
2015-05-19,0.07668463533441597,0.14626479015546903,0.11091518742341437,0.09524756181435279,0.07942628267971051
2015-05-20,0.06713439419871899,0.14301745549193412,0.0927834123868924,0.08234619893267298,0.06395297016728141
2015-05-21,-0.0006297593981158034,0.07527473827548589,0.007047637900325876,0.010676524858118899,-0.007054478531699171
2015-05-22,-0.019975535013194313,0.02091357055396871,-0.006461769905022641,-0.011254323889279284,-0.02750609005191983
