date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,,,,,
2015-03-09,,,,,
2015-03-10,,,,,
2015-03-11,,,,,
2015-03-12,,,,,
2015-03-13,,,,,
2015-03-16,,,,,
2015-03-17,,,,,
2015-03-18,,,,,
2015-03-19,,,,,
2015-03-20,,,,,
2015-03-23,,,,,
2015-03-24,,,,,
2015-03-25,,,,,
2015-03-26,,,,,
2015-03-27,,,,,
2015-03-30,,,,,
2015-03-31,,,,,
2015-04-01,,,,,
2015-04-02,,,,,
2015-04-03,,,,,
2015-04-07,,,,,
2015-04-08,,,,,
2015-04-09,,,,,
2015-04-10,,,,,
2015-04-13,,,,,
2015-04-14,,,,,
2015-04-15,,,,,
2015-04-16,,,,,
2015-04-17,,,,,
2015-04-20,,,,,
2015-04-21,,,,,
2015-04-22,,,,,
2015-04-23,,,,,
2015-04-24,,,,,
2015-04-27,,,,,
2015-04-28,,,,,
2015-04-29,,,,,
2015-04-30,,,,,
2015-05-04,0.04588814767442365,0.12001809370759157,0.15550819030111093,0.0705359317001867,0.12200885747856485
2015-05-05,0.0848201402996551,0.16478859270253857,0.15395995914145993,0.1715537698781064,0.1384075023703654
2015-05-06,0.1380752858171928,0.11011777456531341,0.16490177206022164,0.22076802102110435,0.1475532297385023
2015-05-07,0.14066306910263593,0.21672161649298716,0.18108918174257888,0.17952452063748034,0.16928718393159126
2015-05-08,0.12479486883850985,0.1446808805552802,0.1140716150142916,0.198917474214605,0.23957713810363063
2015-05-11,0.10511466208540562,0.1265809190037451,0.15109546152330253,0.14823566619695927,
2015-05-12,0.10551213337394379,0.0890735180187013,0.10006373952423497,0.1436717239017594,
2015-05-13,0.09631493566392615,0.10818137428278649,0.1491579634077828,0.15029707181297863,0.15247924101509291
2015-05-14,0.09505506268673879,0.1250439400673995,0.11808334105963306,0.16581697062852332,0.16233230799093878
2015-05-15,0.09439925089652883,0.16707607308721778,0.18239305055104021,0.17185312425956825,0.16629760349019007
2015-05-18,0.09590108860844052,0.12692205017130845,0.1886831457087705,0.10261933309958202,0.15283358920884385
2015-05-19,0.05312279265137414,0.05861182280062755,0.08047021704424037,0.09499701221123576,
2015-05-20,0.05370247688269455,0.08679651816113336,0.08069343404057558,0.10022978035084268,
2015-05-21,0.010146706425674524,0.029893930042162613,0.03129766644530074,,
2015-05-22,-0.05720022501889681,-0.05273588572805199,-0.025997671975067617,,
2015-05-25,-0.06308920728117055,-0.029745488280229777,-0.04357788220978967,,
2015-05-26,-0.03387602882461941,-0.052573666745458554,,,
2015-05-27,-0.06207164047599741,-0.050637116790606514,-0.07892681287962883,-0.07994106514587573,
