date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,,,,,
2015-03-09,,,,,
2015-03-10,,,,,
2015-03-11,,,,,
2015-03-12,0.09128155707283316,,,,
2015-03-13,0.08801846517244216,,,,
2015-03-16,,,,,
2015-03-17,,,,,
2015-03-18,,,,,
2015-03-19,,,,,
2015-03-20,,,,,
2015-03-23,,,,,
2015-03-24,,,,,
2015-03-25,,,,,
2015-03-26,0.08900473487771544,,,,
2015-03-27,,,,,
2015-03-30,0.07237946813832564,,,,
2015-03-31,0.061786298552197694,,,,
2015-04-01,0.06636795570135344,,,,
2015-04-02,0.0798947899400564,,,,
2015-04-03,,,,,
2015-04-07,,,,,
2015-04-08,,,,,
2015-04-09,,,,,
2015-04-10,,,,,
2015-04-13,0.06809338596231236,,,,
2015-04-14,,,,,
2015-04-15,,,,,
2015-04-16,,,,,
2015-04-17,,,,,
2015-04-20,,,,,
2015-04-21,,,,,
2015-04-22,,,,,
2015-04-23,,,,,
2015-04-24,0.015329061740405579,,,,
2015-04-27,,,,,
2015-04-28,,,,,
2015-04-29,,,,,
2015-04-30,-0.005134548866516687,,,,
2015-05-04,,,,,
2015-05-05,,,,,
2015-05-06,0.06649978924690254,,,,
2015-05-07,0.10746601902229191,,,,
2015-05-08,,,,,
2015-05-11,,,,,
2015-05-12,,,,,
2015-05-13,,,,,
2015-05-14,0.06496994365617444,,,,
2015-05-15,0.06798685178029039,,,,
2015-05-18,0.11065489626470298,,,,
2015-05-19,,,,,
2015-05-20,,,,,
2015-05-21,,,,,
2015-05-22,,,,,
2015-05-25,,,,,
2015-05-26,,,,,
2015-05-27,,,,,
2015-05-28,,,,,
2015-05-29,0.08472366478433342,,,,
2015-06-01,0.022848006653508758,,,,
2015-06-02,-0.022550739041312825,,,,
2015-06-03,-0.005423658547441206,,,,
2015-06-04,-0.040925851207798576,,,,
2015-06-05,,,,,
2015-06-08,,,,,
2015-06-09,-0.06351151678661136,,,,
2015-06-10,,,,,
2015-06-11,-0.14856076818240957,,,,
2015-06-12,,,,,
2015-06-15,-0.12935073451138349,,,,
2015-06-16,-0.13631883469517464,,,,
2015-06-17,-0.17728310407448544,,,,
2015-06-18,-0.1851915001328093,,,,
2015-06-19,-0.1364715936766259,,,,
2015-06-23,,,,,
2015-06-24,,,,,
2015-06-25,-0.1881321449901244,,,,
2015-06-26,-0.06705296431970198,,,,
2015-06-29,0.004696021863871214,,,,
2015-06-30,-0.0604196432975821,,,,
2015-07-01,-0.07024930380641477,,,,
2015-07-02,-0.03130436518085004,,,,
2015-07-03,0.050877596644449914,,,,
2015-07-06,0.038438605410508704,,,,
