date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,,,,,
2015-03-09,,,,,
2015-03-10,,,,,
2015-03-11,,,,,
2015-03-12,,,,,
2015-03-13,,,,,
2015-03-16,,,,,
2015-03-17,,,,,
2015-03-18,,,,,
2015-03-19,,,,,
2015-03-20,,,,,
2015-03-23,,,,,
2015-03-24,,,,,
2015-03-25,,,,,
2015-03-26,,,,,
2015-03-27,,,,,
2015-03-30,,,,,
2015-03-31,,,,,
2015-04-01,,,,,
2015-04-02,,,,,
2015-04-03,,,,,
2015-04-07,,,,,
2015-04-08,,,,,
2015-04-09,,,,,
2015-04-10,,,,,
2015-04-13,,,,,
2015-04-14,,,,,
2015-04-15,,,,,
2015-04-16,,,,,
2015-04-17,0.02832654518207037,0.06478093189640177,-0.0031974917567744177,0.032357012302549316,0.018258209857387957
2015-04-20,0.08581680941781,0.07076914957464403,0.07142716453136207,0.0669208822658835,0.025639322219552712
2015-04-21,0.020961283494479455,0.03126555636312703,0.04935256540151646,0.02768739238944335,0.02015172823075035
2015-04-22,0.018254276222383403,0.02828469443564098,0.012306570099267118,0.011497308984453879,0.0015628708023666855
2015-04-23,0.012204791970506456,-0.0020013220780348653,0.014182260420608895,0.0020858869964078697,0.017567160306012686
2015-04-24,0.015660598171923314,0.018186203756871015,0.012851875107674727,0.01798731816178266,0.013064045184783013
2015-04-27,-0.03126309559200792,-0.03121547418753412,-0.02327474707431369,-0.04406689637764018,-0.043722405986038326
2015-04-28,-0.027931932492117773,-0.009365243866259242,-0.0408903438011148,-0.047714219386132864,-0.02894358744379919
2015-04-29,-0.04954222500556438,-0.04833112900099453,-0.06492829846686904,-0.06549252356273676,-0.0301551457766282
2015-04-30,-0.025880210367954914,-0.03876124697216018,-0.030744646647326557,-0.022860722508135645,-0.025507722362036245
2015-05-04,0.012228505652592236,-0.003633686495049804,0.008211774395161697,0.0005943594636201002,-0.013388327851833382
2015-05-05,0.06921355698025344,0.03682662787600623,0.023435514669758205,0.06772351996083656,0.02784638626234399
2015-05-06,0.048759017828185536,0.058712025892265395,0.008254258769635403,0.05622432946857933,0.04946078296558167
2015-05-07,0.052355247100811686,0.07626960698377777,0.04054929621030433,0.06351404970837003,0.05023057863787086
2015-05-08,0.0167061325205503,0.02150377767125348,0.007856799733540431,0.04363749796758403,0.03230579337825856
2015-05-11,-0.02895001474592316,-0.030125289395700448,-0.014908919940629716,0.005144540891536832,0.02432348935299995
2015-05-12,-0.00930082534997454,-0.01681683295322646,0.003687512833961182,0.01300156843173835,0.01422277490760807
