date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,,,,,
2015-03-09,,,,,
2015-03-10,,,,,
2015-03-11,,,,,
2015-03-12,,,,,
2015-03-13,,,,,
2015-03-16,,,,,
2015-03-17,,,,,
2015-03-18,,,,,
2015-03-19,,,,,
2015-03-20,,,,,
2015-03-23,,,,,
2015-03-24,,,,,
2015-03-25,,,,,
2015-03-26,,,,,
2015-03-27,,,,,
2015-03-30,,,,,
2015-03-31,,,,,
2015-04-01,,,,,
2015-04-02,,,,,
2015-04-03,,,,,
2015-04-07,,,,,
2015-04-08,,,,,
2015-04-09,,,,,
2015-04-10,,,,,
2015-04-13,,,,,
2015-04-14,,,,,
2015-04-15,,,,,
2015-04-16,,,,,
2015-04-17,,,,,
2015-04-20,,,,,
2015-04-21,,,,,
2015-04-22,,,,,
2015-04-23,,,,,
2015-04-24,,,,,
2015-04-27,,,,,
2015-04-28,,,,,
2015-04-29,,,,,
2015-04-30,,,,,
2015-05-04,,,,,
2015-05-05,0.04803157131558067,,,,
2015-05-06,0.060110347650302716,,,,
2015-05-07,0.1020485505215971,,,,
2015-05-08,0.09636040726831385,,,,
2015-05-11,0.09696244500863294,,,,
2015-05-12,0.10166008893210861,,,,
2015-05-13,0.11168099732851158,,,,
2015-05-14,0.0650675183112822,,,,
2015-05-15,0.06795493793034768,,,,
2015-05-18,0.11035803546689706,,,,
2015-05-19,0.10350904378064962,,,,
2015-05-20,0.09155555593005299,,,,
2015-05-21,0.0713584800406836,,,,
2015-05-22,0.05927707013242941,,,,
2015-05-25,0.03713073265964928,,,,
2015-05-26,0.015843504936990348,,,,
2015-05-27,0.01964422274770002,,,,
2015-05-28,0.07015344502905588,,,,
2015-05-29,0.08415547528126452,,,,
2015-06-01,0.022500891442441412,,,,
2015-06-02,-0.022867359830163705,,,,
2015-06-03,-0.00571829686197053,,,,
2015-06-04,-0.041221059507069197,,,,
2015-06-05,,,,,
2015-06-08,-0.07835226399109725,,,,
2015-06-09,-0.06327285243891827,,,,
2015-06-10,-0.08814706340946345,,,,
2015-06-11,-0.14771580145736693,,,,
2015-06-12,-0.18881716245201902,,,,
2015-06-15,-0.12875662420860848,,,,
2015-06-16,-0.13566554442472475,,,,
2015-06-17,-0.17632224675688826,,,,
2015-06-18,-0.1839379725367789,,,,
2015-06-19,-0.1364715936766259,,,,
2015-06-23,-0.19040702371599455,,,,
2015-06-24,-0.2672240752750362,,,,
2015-06-25,-0.1881321449901244,,,,
2015-06-26,-0.06705296431970198,,,,
2015-06-29,0.004696021863871214,,,,
2015-06-30,-0.060419643297582114,,,,
2015-07-01,-0.07024930380641477,,,,
