date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-16,,,,,
2015-02-17,,,,,
2015-02-25,,,,,
2015-02-26,,,,,
2015-02-27,,,,,
2015-03-02,,,,,
2015-03-03,,,,,
2015-03-04,,,,,
2015-03-05,,,,,
2015-03-06,,,,,
2015-03-09,,,,,
2015-03-10,,,,,
2015-03-11,,,,,
2015-03-12,,,,,
2015-03-13,,,,,
2015-03-16,,,,,
2015-03-17,,,,,
2015-03-18,,,,,
2015-03-19,,,,,
2015-03-20,,,,,
2015-03-23,,,,,
2015-03-24,,,,,
2015-03-25,,,,,
2015-03-26,,,,,
2015-03-27,,,,,
2015-03-30,,,,,
2015-03-31,,,,,
2015-04-01,,,,,
2015-04-02,,,,,
2015-04-03,,,,,
2015-04-07,,,,,
2015-04-08,,,,,
2015-04-09,,,,,
2015-04-10,,,,,
2015-04-13,,,,,
2015-04-14,,,,,
2015-04-15,,,,,
2015-04-16,,,,,
2015-04-17,,,,,
2015-04-20,,,,,
2015-04-21,,,,,
2015-04-22,,,,,
2015-04-23,,,,,
2015-04-24,,,,,
2015-04-27,,,,,
2015-04-28,,,,,
2015-04-29,,,,,
2015-04-30,,,,,
2015-05-04,-0.14949621530815652,-0.20506949496868024,-0.14860227977970528,-0.1610606885107142,-0.15796769038013517
2015-05-05,-0.08347716619122986,-0.13840270491197293,-0.09627576147663068,-0.08226516898513755,-0.12267851425754436
2015-05-06,-0.07883019843051986,-0.1570225529048785,-0.0839409683503391,-0.10234207687698366,-0.12415079626556019
2015-05-07,-0.07500530650462514,-0.15677132894471585,-0.07811349809266245,-0.1019416364780215,-0.12005040794116084
2015-05-08,-0.0821916987016228,-0.16804641006507065,-0.13312318704393233,-0.13747749197013362,-0.16776549038108773
2015-05-11,-0.08513142026888432,-0.16711602029437098,-0.12262322258013825,-0.13929381840622673,-0.15186692935249335
2015-05-12,-0.10686806152483293,-0.17242887665389967,-0.1362370949536249,-0.17044427182359378,-0.1730779369043516
2015-05-13,-0.10264765742313073,-0.17180399386293,-0.14201283698149317,-0.17073445646139712,-0.15793539044194738
2015-05-14,-0.10153991588328926,-0.15681895780634597,-0.12117649385762919,-0.15130938168716174,-0.1377953850635637
2015-05-15,-0.07664041121083835,-0.10275915150630219,-0.0817212436729213,-0.09645080644720151,-0.10255689967292589
2015-05-18,-0.05627399669717409,-0.1100919551486207,-0.08433308115139372,-0.08677128624981466,-0.10647607834507362
2015-05-19,-0.07481949577729445,-0.14912381573625913,-0.12040598498792672,-0.10170378397148251,-0.13786618453817773
2015-05-20,-0.06969094240367821,-0.152090676018772,-0.11137898882800971,-0.11212922162011853,-0.14100877562729944
2015-05-21,-0.07258231741991862,-0.1669275058568228,-0.13777509071384134,-0.12851676799306747,-0.16463652135435897
