date,Q1,Q2,Q3,Q4,Q5
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,0.046546558152484874,0.022683811441269186,0.011752673657087709,0.02495781657196981,0.05320213627788312
2015-02-13,0.016391386134772513,0.0033809794667470547,0.01565895810326999,0.021874907233205558,0.017944302603168667
2015-02-16,0.017158013389871794,0.01003218479975095,0.018691589990188037,0.010501330801335343,0.021668101023423855
2015-02-17,0.0017632713826134406,0.0054799921602624035,0.004582450858824866,0.013492044025400904,0.01067047115424021
2015-02-25,0.013760423391631827,0.009112514053545752,0.021312974705434647,0.024954363437528215,0.003308429959276704
2015-02-26,0.00826781329855486,0.009099208385698838,0.020891532572776636,0.01715167336774613,0.0007275749844888213
2015-02-27,0.009947269901725597,-0.004369678319366965,0.027799909304208635,0.012938968795873196,0.020753685126246535
2015-03-02,0.018123952730798566,0.0243554541405891,0.025824414758089397,0.029155576685029563,0.03634076133967059
2015-03-03,0.040759231341891924,0.04660389488817069,0.061275483623480266,0.0484798988417903,0.06389142076457166
2015-03-04,0.06082606578065021,0.04994545937001757,0.07895217388970069,0.07910156798079909,0.06864897749434419
2015-03-05,0.06035101366653371,0.08097784918035705,0.08745055122685141,0.07677802035519757,0.07170981872838236
2015-03-06,0.10172621976719871,0.05833061846567606,0.10342371302346365,0.1142963774301437,0.09918471683862594
2015-03-09,0.10594511013956447,0.10119080897307198,0.11968258080439116,0.10241338722373271,0.09580072167848164
2015-03-10,0.10085583733048117,0.0927082179715198,0.12794802825081236,0.08794437719657504,0.11967835947267395
2015-03-11,0.12385059883879508,0.08219340759744148,0.12081165724640733,0.11131506611539582,0.09423196408333612
2015-03-12,0.12581670583559967,0.08401382105723779,0.09059335166960229,0.07375568024736436,0.07974886527025526
2015-03-13,0.09354777134305745,0.11198305913664505,0.08287972558252162,0.05892465243568122,0.09224419548704961
2015-03-16,0.0796792746821499,0.10045493893263398,0.07870140650127697,0.08139571347219626,0.08859445938309755
2015-03-17,0.057947495092256184,0.0744797545294617,0.07557105817790953,0.08591538907738396,0.068912402652663
2015-03-18,0.0623441921191686,0.06595316613648489,0.06051681440580281,0.07793703771940445,0.06439489758435682
2015-03-19,0.0833715212265896,0.07537241317812196,0.0744475464771902,0.07468926357649432,0.05563738632582503
2015-03-20,0.06726102884488441,0.08016473583494814,0.0811546881625829,0.07214489326619937,0.053379784976559055
2015-03-23,0.07973547799334121,0.06962868389387472,0.09386368048684736,0.08267118634067523,0.05501437322571129
2015-03-24,0.08619666050233805,0.0826181881124534,0.06803946509577588,0.12506891774344867,0.034897188880187814
2015-03-25,0.07001386007598139,0.05719802501882313,0.11466132172599117,0.069751452476596,0.04223983199479038
2015-03-26,0.08620591552248923,0.1353642340291094,0.09075135212853273,0.06777586708228331,0.0658515963182464
2015-03-27,0.08697858247716318,0.12104602965491115,0.11677610387609993,0.09633227690239604,0.06547742351346122
