factor,success,runtime_sec,output_dir,error
ExtremeReversal,True,157.1,/home/gouzi/projects/invest/data/factors/ExtremeReversal_10_p1,
ExtremeReversal,True,166.9,/home/gouzi/projects/invest/data/factors/ExtremeReversal_10_p15,
ADX,True,173.0,/home/gouzi/projects/invest/data/factors/ADX_21_adx,
ADX,True,175.1,/home/gouzi/projects/invest/data/factors/ADX_7_adx,
Stochastic,True,177.4,/home/gouzi/projects/invest/data/factors/Stochastic_7_3_K,
VolumeReversal,True,179.1,/home/gouzi/projects/invest/data/factors/VolumeReversal_10_10,
Stochastic,True,187.0,/home/gouzi/projects/invest/data/factors/Stochastic_21_3_K,
VolOfVol,True,192.1,/home/gouzi/projects/invest/data/factors/VolOfVol_10_60,
VolumeReversal,True,193.1,/home/gouzi/projects/invest/data/factors/VolumeReversal_20_20,
VolOfVol,True,193.3,/home/gouzi/projects/invest/data/factors/VolOfVol_10_40,
Stochastic,True,197.9,/home/gouzi/projects/invest/data/factors/Stochastic_7_5_K,
Stochastic,True,201.8,/home/gouzi/projects/invest/data/factors/Stochastic_14_5_K,
VolOfVol,True,230.3,/home/gouzi/projects/invest/data/factors/VolOfVol_10_120,
ExtremeReversal,True,232.7,/home/gouzi/projects/invest/data/factors/ExtremeReversal_10_p05,
VolumeReversal,True,238.4,/home/gouzi/projects/invest/data/factors/VolumeReversal_10_20,
VolumeReversal,True,241.6,/home/gouzi/projects/invest/data/factors/VolumeReversal_20_10,
Stochastic,True,183.8,/home/gouzi/projects/invest/data/factors/Stochastic_21_5_K,
MASlope,True,176.8,/home/gouzi/projects/invest/data/factors/MASlope_close_10_5,
MASlope,True,179.1,/home/gouzi/projects/invest/data/factors/MASlope_close_10_10,
BollingerBandPosition,True,197.8,/home/gouzi/projects/invest/data/factors/BollingerBandPosition_close_40_2.0,
BollingerBandPosition,True,201.3,/home/gouzi/projects/invest/data/factors/BollingerBandPosition_close_40_1.5,
BollingerBandPosition,True,218.1,/home/gouzi/projects/invest/data/factors/BollingerBandPosition_close_10_1.5,
BollingerBandPosition,True,208.9,/home/gouzi/projects/invest/data/factors/BollingerBandPosition_close_40_2.5,
BollingerBandPosition,True,223.2,/home/gouzi/projects/invest/data/factors/BollingerBandPosition_close_10_2.0,
MASlope,True,200.4,/home/gouzi/projects/invest/data/factors/MASlope_close_40_3,
MASlope,True,206.1,/home/gouzi/projects/invest/data/factors/MASlope_close_40_5,
BollingerBandPosition,True,236.8,/home/gouzi/projects/invest/data/factors/BollingerBandPosition_close_10_2.5,
MASlope,True,190.4,/home/gouzi/projects/invest/data/factors/MASlope_close_40_10,
MADistance,True,179.9,/home/gouzi/projects/invest/data/factors/MADistance_close_10_120,
MADistance,True,201.7,/home/gouzi/projects/invest/data/factors/MADistance_close_10_40,
MASlope,True,243.2,/home/gouzi/projects/invest/data/factors/MASlope_close_10_3,
MADistance,True,200.6,/home/gouzi/projects/invest/data/factors/MADistance_close_10_60,
HistoricalVaR,True,169.3,/home/gouzi/projects/invest/data/factors/HistoricalVaR_120_q05,
HistoricalVaR,True,184.3,/home/gouzi/projects/invest/data/factors/HistoricalVaR_60_q05,
MADistance,True,220.8,/home/gouzi/projects/invest/data/factors/MADistance_close_20_40,
MADistance,True,198.8,/home/gouzi/projects/invest/data/factors/MADistance_close_20_120,
TrendR2,True,180.1,/home/gouzi/projects/invest/data/factors/TrendR2_60_r2,
MADistance,True,207.9,/home/gouzi/projects/invest/data/factors/MADistance_close_20_60,
TrendR2,True,181.3,/home/gouzi/projects/invest/data/factors/TrendR2_60_slope,
TrendR2,True,174.5,/home/gouzi/projects/invest/data/factors/TrendR2_240_slope,
RSRS,True,157.8,/home/gouzi/projects/invest/data/factors/RSRS_zscore_reg14_z600_adj,
CVaR,True,199.7,/home/gouzi/projects/invest/data/factors/CVaR_120_q05,
RSRS,True,175.0,/home/gouzi/projects/invest/data/factors/RSRS_zscore_reg14_z400_adj,
CVaR,True,217.3,/home/gouzi/projects/invest/data/factors/CVaR_60_q05,
RSRS,True,183.1,/home/gouzi/projects/invest/data/factors/RSRS_zscore_reg14_z200_adj,
ChandelierExit,True,175.6,/home/gouzi/projects/invest/data/factors/ChandelierExit_10_22,
ChandelierExit,True,183.8,/home/gouzi/projects/invest/data/factors/ChandelierExit_10_10,
TrendR2,True,211.5,/home/gouzi/projects/invest/data/factors/TrendR2_240_r2,
ChandelierExit,True,120.3,/home/gouzi/projects/invest/data/factors/ChandelierExit_10_40,
ChandelierExit,True,111.8,/home/gouzi/projects/invest/data/factors/ChandelierExit_40_10,
ChandelierExit,True,112.8,/home/gouzi/projects/invest/data/factors/ChandelierExit_40_22,
ChandelierExit,True,104.7,/home/gouzi/projects/invest/data/factors/ChandelierExit_40_40,
